timeStamp,sessionId,actor,action,x,y,z,target
4/25/2018 14:07:22:108,59740,B,Move,-5.3, 1.1, -3.8,
4/25/2018 14:07:22:124,59740,,BeginRound1,,
4/25/2018 14:07:25:236,59740,B,Move,-5.3, 1.1, -3.8,
4/25/2018 14:07:25:240,59740,C BOT_moral,Thank,-4.6, 1.1, 4.4,B
4/25/2018 14:07:25:242,59740,A BOT,Ask,5.3, 1.1, -4.2,C BOT_moral
4/25/2018 14:07:27:205,59740,B,Move,-3.9, 1.1, -2.6,
4/25/2018 14:07:27:206,59740,B,EnterTP,-3.9, 1.1, -2.6,
4/25/2018 14:07:33:970,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:33:971,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:33:972,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:33:972,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:33:972,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:33:973,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:33:973,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:34:338,59740,C BOT_moral,EnterTP,-4.5, 1.1, 3.3,
4/25/2018 14:07:34:464,59740,C BOT_moral,Activated,-4.5, 1.1, 3.1,
4/25/2018 14:07:35:822,59740,B,Move,-2.5, 1.1, -1.1,
4/25/2018 14:07:37:207,59740,B,exitTP,-1.1, 1.1, -1.2,
4/25/2018 14:07:37:460,59740,A BOT,EnterTP,2.3, 1.1, -1.2,
4/25/2018 14:07:40:499,59740,C BOT_moral,exitTP,-1.1, 1.1, 0.2,
4/25/2018 14:07:40:625,59740,B,EnterTP,2.3, 1.1, -1.3,
4/25/2018 14:07:40:881,59740,A BOT,Activated,5.1, 1.1, 0.3,
4/25/2018 14:07:43:780,59740,C BOT_moral,EnterTP,-1.2, 1.1, 0.2,
4/25/2018 14:07:43:908,59740,B,Kick,5.0, 1.1, -1.9,A BOT
4/25/2018 14:07:43:911,59740,C BOT_moral,TakeOff,-1.5, 1.1, 0.3,
4/25/2018 14:07:44:32,59740,C BOT_moral,exitTP,-15.3, 0.6, -5.0,
4/25/2018 14:07:44:631,59740,A BOT,exitTP,7.5, 1.1, 3.5,
4/25/2018 14:07:48:870,59740,A BOT,EnterTP,7.3, 1.1, 3.3,
4/25/2018 14:07:49:562,59740,A BOT,Activated,6.9, 1.1, 2.7,
4/25/2018 14:07:51:410,59740,B,Move,5.7, 1.1, -1.4,
4/25/2018 14:07:52:106,59740,B,Move,5.1, 1.1, -1.6,
4/25/2018 14:07:53:277,59740,C BOT_moral,Saved,-14.4, 1.7, -6.1,A BOT
4/25/2018 14:07:53:393,59740,A BOT,exitTP,-8.8, 0.6, -10.5,
4/25/2018 14:07:54:990,59740,B,exitTP,2.2, 1.1, -1.5,
4/25/2018 14:07:55:107,59740,B,Move,2.1, 1.1, -1.5,
4/25/2018 14:08:00:466,59740,C BOT_moral,Spawned,-14.4, 1.7, -6.1,
4/25/2018 14:08:00:466,59740,A BOT,Spawned,-8.8, 1.7, -10.5,
4/25/2018 14:08:00:467,59740,B,Spawned,1.5, 1.1, -1.3,
4/25/2018 14:08:00:467,59740,,EndRound1,,
4/25/2018 14:08:03:494,59740,,BeginRound2,,
4/25/2018 14:08:08:75,59740,B,Move,6.1, 1.1, 5.0,
4/25/2018 14:08:08:922,59740,B,Move,6.0, 1.1, 4.2,
4/25/2018 14:08:09:897,59740,B,EnterTP,5.8, 1.1, 3.3,
4/25/2018 14:08:12:986,59740,C BOT_moral,EnterTP,2.3, 1.1, -1.7,
4/25/2018 14:08:13:866,59740,C BOT_moral,Activated,3.1, 1.1, -1.2,
4/25/2018 14:08:14:737,59740,A BOT,EnterTP,-2.4, 1.1, -2.6,
4/25/2018 14:08:15:740,59740,B,Kick,5.6, 1.1, -0.8,C BOT_moral
4/25/2018 14:08:15:867,59740,A BOT,TakeOff,-2.5, 1.1, -1.8,
4/25/2018 14:08:15:992,59740,A BOT,exitTP,-15.3, 0.6, -5.0,
4/25/2018 14:08:15:992,59740,C BOT_moral,exitTP,1.5, 1.1, -0.4,
4/25/2018 14:08:16:243,59740,C BOT_moral,EnterTP,-1.8, 1.1, -0.9,
4/25/2018 14:08:16:833,59740,C BOT_moral,exitTP,-7.8, 1.1, -1.9,
4/25/2018 14:08:19:370,59740,C BOT_moral,EnterTP,-7.1, 1.1, -1.7,
4/25/2018 14:08:21:925,59740,A BOT,Saved,-14.4, 1.7, -6.1,B
4/25/2018 14:08:22:41,59740,B,exitTP,-8.8, 0.6, -10.5,
4/25/2018 14:08:29:131,59740,C BOT_moral,Spawned,-4.4, 1.1, -1.3,
4/25/2018 14:08:29:131,59740,A BOT,Spawned,-14.4, 1.7, -6.1,
4/25/2018 14:08:29:132,59740,B,Spawned,-8.8, 1.7, -10.5,
4/25/2018 14:08:29:132,59740,,EndRound2,,
4/25/2018 14:08:29:245,59740,C BOT_moral,exitTP,-5.3, 0.5, -3.8,
4/25/2018 14:08:32:226,59740,,BeginRound3,,
4/25/2018 14:08:33:758,59740,C BOT_moral,Ask,-5.3, 1.1, -3.8,A BOT
4/25/2018 14:08:35:918,59740,A BOT,Thank,6.1, 1.1, 5.0,B
4/25/2018 14:08:36:514,59740,B,Move,-4.6, 1.1, 4.4,
4/25/2018 14:08:37:829,59740,B,EnterTP,-4.5, 1.1, 3.2,
4/25/2018 14:08:40:581,59740,C BOT_moral,EnterTP,-5.0, 1.1, -2.6,
4/25/2018 14:08:40:704,59740,C BOT_moral,Activated,-4.9, 1.1, -2.4,
4/25/2018 14:08:42:141,59740,B,Kick,-4.1, 1.1, 0.9,C BOT_moral
4/25/2018 14:08:42:381,59740,C BOT_moral,exitTP,-5.2, 1.1, -3.2,
4/25/2018 14:08:43:825,59740,A BOT,Ask,6.1, 1.1, 5.0,C BOT_moral
4/25/2018 14:08:53:360,59740,C BOT_moral,Thank,0.7, 1.1, -0.6,B
4/25/2018 14:08:56:749,59740,C BOT_moral,EnterTP,2.3, 1.1, 1.7,
4/25/2018 14:08:58:617,59740,C BOT_moral,exitTP,2.8, 1.1, 3.3,
4/25/2018 14:08:59:726,59740,C BOT_moral,EnterTP,3.1, 1.1, 3.3,
4/25/2018 14:09:00:470,59740,C BOT_moral,Activated,3.7, 1.1, 2.7,
4/25/2018 14:09:01:462,59740,A BOT,EnterTP,2.3, 1.1, 1.0,
4/25/2018 14:09:02:457,59740,A BOT,exitTP,2.2, 1.1, 0.8,
4/25/2018 14:09:05:956,59740,A BOT,EnterTP,-1.3, 1.1, 0.6,
4/25/2018 14:09:06:958,59740,A BOT,exitTP,-1.2, 1.1, 0.5,
4/25/2018 14:09:07:964,59740,C BOT_moral,Kick,2.6, 1.1, 0.4,A BOT
4/25/2018 14:09:07:964,59740,A BOT,Kick,-0.2, 1.1, 0.5,C BOT_moral
4/25/2018 14:09:08:214,59740,A BOT,EnterTP,-1.8, 1.1, 0.5,
4/25/2018 14:09:08:707,59740,B,exitTP,-7.3, 1.1, 0.9,
4/25/2018 14:09:09:58,59740,A BOT,exitTP,-7.1, 1.1, -0.2,
4/25/2018 14:09:09:59,59740,A BOT,EnterTP,-7.1, 1.1, -0.3,
4/25/2018 14:09:09:175,59740,A BOT,exitTP,-7.9, 1.1, -0.4,
4/25/2018 14:09:09:990,59740,B,EnterTP,-7.1, 1.1, 1.8,
4/25/2018 14:09:12:821,59740,A BOT,EnterTP,-7.1, 1.1, -0.2,
4/25/2018 14:09:15:880,59740,C BOT_moral,exitTP,2.1, 1.1, -0.1,
4/25/2018 14:09:18:368,59740,C BOT_moral,EnterTP,2.3, 1.1, -0.1,
4/25/2018 14:09:18:621,59740,C BOT_moral,Activated,2.6, 1.1, 0.0,
4/25/2018 14:09:20:751,59740,A BOT,exitTP,-1.2, 1.1, -1.1,
4/25/2018 14:09:21:4,59740,C BOT_moral,Deactivated,4.8, 1.1, 0.3,
4/25/2018 14:09:24:266,59740,A BOT,Kick,2.3, 1.1, -0.3,C BOT_moral
4/25/2018 14:09:24:390,59740,A BOT,EnterTP,2.3, 1.1, -0.3,
4/25/2018 14:09:28:445,59740,A BOT,Activated,2.6, 1.1, -0.3,
4/25/2018 14:09:32:140,59740,B,TakeOff,-4.2, 1.1, 0.6,
4/25/2018 14:09:32:259,59740,B,exitTP,-15.3, 0.6, -5.0,
4/25/2018 14:09:34:506,59740,C BOT_moral,exitTP,2.2, 1.1, 2.0,
4/25/2018 14:09:35:571,59740,A BOT,Kick,4.0, 1.1, 0.9,C BOT_moral
4/25/2018 14:09:38:71,59740,C BOT_moral,EnterTP,2.2, 1.1, 1.3,
4/25/2018 14:09:38:73,59740,C BOT_moral,exitTP,2.2, 1.1, 1.3,
4/25/2018 14:09:38:190,59740,C BOT_moral,EnterTP,2.3, 1.1, 1.3,
4/25/2018 14:09:38:311,59740,A BOT,Activated,4.8, 1.1, 0.7,
4/25/2018 14:09:38:668,59740,B,Saved,-14.4, 1.7, -6.1,C BOT_moral
4/25/2018 14:09:38:785,59740,C BOT_moral,exitTP,-8.8, 0.6, -10.5,
4/25/2018 14:09:45:731,59740,A BOT,Activated,5.1, 1.1, 0.5,
4/25/2018 14:09:45:846,59740,C BOT_moral,Spawned,-9.9, 1.7, -4.5,
4/25/2018 14:09:45:846,59740,A BOT,Spawned,5.1, 1.1, 0.5,
4/25/2018 14:09:45:847,59740,B,Spawned,-14.4, 1.7, -6.1,
4/25/2018 14:09:45:847,59740,,EndRound3,,
4/25/2018 14:09:45:963,59740,A BOT,exitTP,-4.6, 0.5, 4.4,
4/25/2018 14:09:48:846,59740,,BeginRound4,,
4/25/2018 14:09:51:461,59740,B,Move,5.3, 1.1, -4.2,
4/25/2018 14:09:53:244,59740,B,EnterTP,5.2, 1.1, -2.6,
4/25/2018 14:09:53:952,59740,B,Move,5.2, 1.1, -1.9,
4/25/2018 14:09:55:144,59740,C BOT_moral,EnterTP,5.8, 1.1, 3.3,
4/25/2018 14:09:55:265,59740,C BOT_moral,Activated,5.8, 1.1, 3.1,
4/25/2018 14:09:59:350,59740,B,Move,4.1, 1.1, 1.4,
4/25/2018 14:10:00:679,59740,B,Move,2.9, 1.1, 1.5,
4/25/2018 14:10:01:289,59740,B,exitTP,2.2, 1.1, 1.3,
4/25/2018 14:10:03:3,59740,A BOT,EnterTP,-4.5, 1.1, 3.3,
4/25/2018 14:10:03:129,59740,A BOT,Activated,-4.5, 1.1, 3.1,
4/25/2018 14:10:03:873,59740,C BOT_moral,exitTP,2.2, 1.1, 0.3,
4/25/2018 14:10:04:628,59740,B,Move,-1.1, 1.1, 0.0,
4/25/2018 14:10:04:629,59740,C BOT_moral,EnterTP,2.3, 1.1, 0.3,
4/25/2018 14:10:04:630,59740,C BOT_moral,TakeOff,2.4, 1.1, 0.3,
4/25/2018 14:10:04:755,59740,C BOT_moral,exitTP,-15.3, 0.6, -5.0,
4/25/2018 14:10:05:836,59740,B,Move,-0.2, 1.1, -0.3,
4/25/2018 14:10:08:456,59740,B,EnterTP,2.4, 1.1, -0.6,
4/25/2018 14:10:08:575,59740,B,Move,2.5, 1.1, -0.6,
4/25/2018 14:10:09:171,59740,C BOT_moral,Saved,-14.4, 1.7, -6.1,A BOT
4/25/2018 14:10:09:290,59740,A BOT,exitTP,-8.8, 0.6, -10.5,
4/25/2018 14:10:16:392,59740,C BOT_moral,Spawned,-14.4, 1.7, -6.1,
4/25/2018 14:10:16:392,59740,A BOT,Spawned,-8.8, 1.7, -10.5,
4/25/2018 14:10:16:393,59740,B,Spawned,4.5, 1.1, 0.0,
4/25/2018 14:10:16:393,59740,,EndRound4,,
4/25/2018 14:10:16:506,59740,B,exitTP,-5.3, 0.5, -3.8,
4/25/2018 14:10:19:409,59740,,BeginRound5,,
4/25/2018 14:10:22:419,59740,B,Move,-5.3, 1.1, -3.8,
4/25/2018 14:10:23:394,59740,B,Move,-4.5, 1.1, -3.5,
4/25/2018 14:10:26:356,59740,B,EnterTP,-2.3, 1.1, -2.6,
4/25/2018 14:10:26:357,59740,C BOT_moral,EnterTP,-3.8, 1.1, 3.3,
4/25/2018 14:10:27:357,59740,B,exitTP,-1.3, 1.1, -2.2,
4/25/2018 14:10:29:4,59740,A BOT,EnterTP,2.3, 1.1, -0.2,
4/25/2018 14:10:29:135,59740,A BOT,Activated,2.5, 1.1, -0.2,
4/25/2018 14:10:29:637,59740,C BOT_moral,exitTP,-1.2, 1.1, 1.4,
4/25/2018 14:10:30:273,59740,A BOT,Thank,3.6, 1.1, 0.0,C BOT_moral
4/25/2018 14:10:30:528,59740,B,Move,1.5, 1.1, -1.0,
4/25/2018 14:10:30:913,59740,B,Move,1.4, 1.1, -1.0,
4/25/2018 14:10:33:212,59740,C BOT_moral,EnterTP,2.3, 1.1, 0.8,
4/25/2018 14:10:33:467,59740,C BOT_moral,Deactivated,2.6, 1.1, 0.7,
4/25/2018 14:10:33:719,59740,B,EnterTP,-1.2, 1.1, -1.8,
4/25/2018 14:10:34:349,59740,B,Move,-1.8, 1.1, -2.0,
4/25/2018 14:10:37:343,59740,C BOT_moral,Kick,4.1, 1.1, 0.7,A BOT
4/25/2018 14:10:40:272,59740,A BOT,Kick,7.0, 1.1, 0.2,C BOT_moral
4/25/2018 14:10:40:638,59740,C BOT_moral,exitTP,0.6, 1.1, 1.3,
4/25/2018 14:10:40:884,59740,C BOT_moral,EnterTP,-2.4, 1.1, 1.8,
4/25/2018 14:10:41:493,59740,C BOT_moral,exitTP,-7.9, 1.1, 2.9,
4/25/2018 14:10:41:732,59740,A BOT,Ask,6.9, 1.1, 0.2,C BOT_moral
4/25/2018 14:10:45:462,59740,C BOT_moral,EnterTP,-7.0, 1.1, 2.9,
4/25/2018 14:10:46:298,59740,B,Activated,-4.0, 1.1, -0.1,
4/25/2018 14:10:48:925,59740,A BOT,TakeOff,6.9, 1.1, 0.2,
4/25/2018 14:10:49:45,59740,A BOT,exitTP,-15.3, 0.6, -5.0,
4/25/2018 14:10:51:391,59740,C BOT_moral,exitTP,-1.2, 1.1, 1.7,
4/25/2018 14:10:54:943,59740,C BOT_moral,EnterTP,2.3, 1.1, 1.0,
4/25/2018 14:10:55:298,59740,A BOT,Saved,-14.4, 1.7, -6.1,B
4/25/2018 14:10:55:415,59740,B,exitTP,-8.8, 0.6, -10.5,
4/25/2018 14:11:02:443,59740,C BOT_moral,Spawned,2.9, 1.1, 0.8,
4/25/2018 14:11:02:443,59740,A BOT,Spawned,-14.4, 1.7, -6.1,
4/25/2018 14:11:02:444,59740,B,Spawned,-8.8, 1.7, -10.5,
4/25/2018 14:11:02:444,59740,,EndRound5,,
4/25/2018 14:11:02:559,59740,C BOT_moral,exitTP,5.3, 0.5, -4.2,
4/25/2018 14:11:05:476,59740,,BeginRound6,,
4/25/2018 14:11:07:164,59740,B,Move,6.1, 1.1, 5.0,
4/25/2018 14:11:08:978,59740,B,EnterTP,5.8, 1.1, 3.3,
4/25/2018 14:11:09:829,59740,C BOT_moral,EnterTP,5.3, 1.1, -2.5,
4/25/2018 14:11:09:831,59740,C BOT_moral,Activated,5.3, 1.1, -2.4,
4/25/2018 14:11:10:73,59740,B,Move,5.6, 1.1, 2.2,
4/25/2018 14:11:10:808,59740,A BOT,EnterTP,-5.0, 1.1, -2.6,
4/25/2018 14:11:10:931,59740,A BOT,Activated,-4.9, 1.1, -2.3,
4/25/2018 14:11:11:300,59740,B,Kick,5.4, 1.1, 1.2,C BOT_moral
4/25/2018 14:11:11:545,59740,C BOT_moral,exitTP,4.8, 1.1, -3.0,
4/25/2018 14:11:13:874,59740,A BOT,exitTP,-3.5, 1.1, -2.7,
4/25/2018 14:11:16:721,59740,A BOT,Kick,-1.3, 1.1, -4.4,C BOT_moral
4/25/2018 14:11:18:455,59740,C BOT_moral,EnterTP,7.2, 1.1, -2.6,
4/25/2018 14:11:19:688,59740,C BOT_moral,Thank,6.7, 1.1, -1.5,A BOT
4/25/2018 14:11:19:935,59740,A BOT,EnterTP,-2.4, 1.1, -2.6,
4/25/2018 14:11:20:687,59740,A BOT,Activated,-2.8, 1.1, -1.8,
4/25/2018 14:11:21:808,59740,B,TakeOff,5.1, 1.1, 1.3,
4/25/2018 14:11:21:931,59740,B,exitTP,-15.3, 0.6, -5.0,
4/25/2018 14:11:24:518,59740,A BOT,Ask,-4.2, 1.1, 0.4,C BOT_moral
4/25/2018 14:11:33:431,59740,A BOT,exitTP,-1.2, 1.1, 0.4,
4/25/2018 14:11:36:295,59740,B,Escaped,-14.4, 1.7, -6.1,
4/25/2018 14:11:36:889,59740,A BOT,EnterTP,2.3, 1.1, 0.4,
4/25/2018 14:11:37:126,59740,A BOT,exitTP,2.2, 1.1, 0.4,
4/25/2018 14:11:37:366,59740,C BOT_moral,Ask,5.2, 1.1, 0.4,A BOT
4/25/2018 14:11:41:568,59740,A BOT,Thank,0.6, 1.1, 0.4,C BOT_moral
4/25/2018 14:11:43:428,59740,C BOT_moral,Spawned,5.2, 1.1, 0.4,
4/25/2018 14:11:43:428,59740,A BOT,Spawned,0.6, 1.1, 0.4,
